20,30.0,70.0,pB5pNJfA5hGCeqQCZNc2RA,Name of cyclone 'Vardah' given by Pakistan,2016-12-12 18:17:13,Geopolitical,moderate,"(30.0, 70.0)",4,Multān,1.0
50,33.749,-84.38798,1Bf6jKfA5hGjPaUCZNc2RA,"Kandi Burruss Accuses Phaedra Parks Of Lying About Bomb Threat, Says Mama Joyce Needs A ...",2016-12-12 20:14:13,Physical Threats,moderate,"(33.749000000000002, -84.387979999999999)",4,Atlanta,1.0
262,39.76,-98.5,sixhvYDB5hGMSQrRy13KCQ,Health in Brief,2016-12-13 22:08:55,Public Health,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
301,39.76,-98.5,SA50wKLB5hG6CJsCZNc2RA,Algeria Travel Warning,2016-12-14 02:12:24,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
368,27.69639,-80.57409,Bpt+ZxnC5hGsppcCZNc2RA,Norovirus Outbreak At Gifford Middle School,2016-12-14 16:21:44,Public Health,low,"(27.696390000000001, -80.574089999999998)",1,Tampa,1.0
391,44.95816,-124.01789,8D2O9yjC5hGfRArRy13KCQ,WEATHER: WINTER WEATHER ADVISORY ISSUED,2016-12-14 18:13:08,Other,moderate,"(44.958159999999999, -124.01788999999999)",4,Portland,1.0
394,44.56457,-123.26204,bMhR+yjC5hG+_ArRy13KCQ,"Winter Weather Advisory issued for Wednesday: Snow, ice likely in Eugene area",2016-12-14 18:13:15,Other,moderate,"(44.564570000000003, -123.26203999999998)",4,Portland,1.0
399,33.87405,74.89955,YjupEinC5hGEjgrRy13KCQ,"J&K Govt names Burhan brother in compensation list, ally BJP protests",2016-12-14 18:13:54,Other,moderate,"(33.874049999999997, 74.899550000000005)",4,Srinagar,1.0
421,12.00012,8.51672,olLN6jnC5hGdUZgCZNc2RA,"Senators protest removal of Kano, Plateau from devt commission",2016-12-14 20:14:29,Infrastructure,moderate,"(12.000119999999999, 8.5167199999999994)",4,Kano,1.0
523,35.46756,-97.51643,6K6MOtjC5hG+0AvRy13KCQ,Oklahoma City police release video of fatal airport shooting that left Michael Winchester dead,2016-12-15 15:07:43,Physical Threats,moderate,"(35.467559999999999, -97.51643)",4,Oklahoma City,1.0
765,52.49864,-1.93891,AP_5eFnE5hGaARnRy13KCQ,Winson Green riots: Prison on fire as chaos reigns,2016-12-17 13:05:24,Natural Disaster,moderate,"(52.498640000000002, -1.9389099999999999)",4,Birmingham,1.0
776,47.27899,-122.25206,pNBU63rE5hG52xUO+RcZ4Q,King County Mumps Outbreak: The Latest Numbers,2016-12-17 17:04:49,Physical Threats,moderate,"(47.27899, -122.25206000000001)",4,Seattle,1.0
1038,-4.3440321,15.3519547,QG4r6EjG5hGT0jbRy13KCQ,Gunfire heard in Kinshasa as anti-Kabila protests continue - Update,2016-12-20 00:00:00,riskline_3,medium,"(-4.3440320999999997, 15.351954699999999)",9,Kinshasa,1.0
1079,-25.747622,28.21947,DHzKIr3G5hGuaQrRy13KCQ,Protesters clash with police outside Congolese Embassy in Pretoria,2016-12-20 00:00:00,riskline_3,medium,"(-25.747622, 28.219470000000001)",9,Pretoria,1.0
1305,-6.21462,106.84513,EspK3MnH5hGSOwAO+RcZ4Q,"Indonesia police kill 3 suspected militants, defuse bombs",2016-12-21 22:07:27,Physical Threats,moderate,"(-6.21462, 106.84513000000001)",4,Jakarta,1.0
1558,8.0,39.0,WrmpdAjJ5hGyevkW_zs7xg,Ethiopia Frees Thousands of Detainees,2016-12-23 12:08:03,Geopolitical,moderate,"(8.0, 39.0)",4,Addis Ababa,1.0
5022,31.68237,65.75953,eEVURH7A5hGIDxrRy13KCQ,Maoist couple surrender due to ill-health and differences,2016-12-12 15:18:42,Physical Threats,moderate,"(31.682370000000002, 65.759529999999998)",4,Kandahār,1.0
5552,13.08784,80.27847,ckiTzZXA5hGaohnRy13KCQ,"Flights out of Chennai diverted, cancelled",2016-12-12 18:07:11,Other,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
5638,19.07283,72.88261,ACW5co3A5hGCSKQCZNc2RA,Women staff harassment in DGCA going unheard?,2016-12-12 17:07:22,Other,moderate,"(19.07283, 72.88261)",4,Mumbai,1.0
