time,city,row,lat,lon,id,title,start_ts,report_type,severity,lat_long,severity_quadratic,city,anomalous
2016-12-12 14:17:48,Cairo,2019,30.06263,31.249670000000002,BqMHwnXA5hGGKRzRy13KCQ,Hundreds Protest in Front of Cairo’s Coptic Cathedral after Attack,2016-12-12 14:17:48,Other,moderate,"(30.062629999999999, 31.249670000000002)",4.0,Cairo,1.0
2016-12-12 15:05:22,İstanbul,2145,41.01384,28.949659999999998,vowtZ3zA5hGCBqQCZNc2RA,Turkey blasts claimed by Kurdish militants; country mourns,2016-12-12 15:05:22,Geopolitical,extreme,"(41.013840000000002, 28.949659999999998)",25.0,İstanbul,1.0
2016-12-12 15:05:29,İstanbul,2166,41.01384,28.949659999999998,YL21a3zA5hGwFRzRy13KCQ,Turkish Authorities Suspect PKK Behind Istanbul Attack,2016-12-12 15:05:29,Physical Threats,medium,"(41.013840000000002, 28.949659999999998)",9.0,İstanbul,1.0
2016-12-12 15:13:42,Chennai,2243,13.08784,80.27847,aCFLkX3A5hGC+qMCZNc2RA,LIVE! Cyclone Vardah begins crossover from sea to coast,2016-12-12 15:13:42,Geopolitical,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 15:20:22,Los Angeles,2324,34.26945,-118.78148,ojYRgH7A5hGEiBnRy13KCQ,Man held for allegedly stabbing worshipper near mosque,2016-12-12 15:20:22,Crime,moderate,"(34.269449999999999, -118.78148)",4.0,Los Angeles,1.0
2016-12-12 16:09:55,Aleppo,2526,36.201240000000006,37.16117,FADta4XA5hGYi6ICZNc2RA,Russian warplanes kill over 300 Syrians in Palmyra,2016-12-12 16:09:55,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 17:09:31,London,2794,51.50853,-0.12574000000000002,KmaNv43A5hGU5KQCZNc2RA,"Woman, 32, from London among six arrested in anti-terror swoop",2016-12-12 17:09:31,Crime,moderate,"(51.50853, -0.12574000000000002)",4.0,London,1.0
2016-12-12 17:11:37,Charlotte,2807,34.00043,-81.00009,ekCVCo7A5hGnORzRy13KCQ,South Carolina police: Man killed amid gunfire with officers,2016-12-12 17:11:37,Crime,moderate,"(34.000430000000001, -81.00009)",4.0,Charlotte,1.0
2016-12-12 18:07:14,Nagpur,2909,22.0,79.0,PPeQz5XA5hGwkqQCZNc2RA,To boldly go,2016-12-12 18:07:14,Infrastructure,medium,"(22.0, 79.0)",9.0,Nagpur,1.0
2016-12-12 18:10:56,Chennai,3100,13.08784,80.27847,hszxU5bA5hGmQxnRy13KCQ,Cyclone Vardah lashes south India coast with 120km/h winds,2016-12-12 18:10:56,Geopolitical,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:11:09,Chennai,3117,13.08784,80.27847,utOfW5bA5hGDeh3Ry13KCQ,Cyclone Vardah: Rail and air services affected in Chennai,2016-12-12 18:11:09,Other,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:11:11,Chennai,3039,13.08784,80.27847,DvzlXJbA5hG9chvRy13KCQ,"Cyclonic Storm Vardah Hits Chennai Coast, People Evacuated to Relief Centers",2016-12-12 18:11:11,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:17:36,Aleppo,3162,36.201240000000006,37.16117,vFdzQpfA5hGeSx3Ry13KCQ,Syrian troops take even more ground in rebel part of Aleppo,2016-12-12 18:17:36,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 19:00:00,İstanbul,3259,41.01384,28.949659999999998,GIF+Lp3A5hG70h3Ry13KCQ,Day of mourning in Turkey after 38 killed in Istanbul twin bombings,2016-12-12 19:00:00,Physical Threats,medium,"(41.013840000000002, 28.949659999999998)",9.0,İstanbul,1.0
2016-12-12 19:09:05,Chennai,3302,13.08784,80.27847,3ryLc57A5hGX2R7Ry13KCQ,"10 updates on Cyclone Vardah: Wind speed reduces, storm to move towards Karnata...",2016-12-12 19:09:05,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 19:09:31,Aleppo,3069,36.201240000000006,37.16117,bgLFgp7A5hGM+R7Ry13KCQ,Vanishing civilians of Aleppo,2016-12-12 19:09:31,Other,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 19:10:27,Aleppo,3294,36.201240000000006,37.16117,7N51pJ7A5hGFG6ICZNc2RA,Syria Says Government Forces Now Control 98 Percent of Aleppo,2016-12-12 19:10:27,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 19:16:54,Los Angeles,3410,34.26945,-118.78148,sh0Mi5_A5hGfEBvRy13KCQ,Man held for allegedly stabbing worshipper near mosque,2016-12-12 19:16:54,Crime,moderate,"(34.269449999999999, -118.78148)",4.0,Los Angeles,1.0
2016-12-12 20:05:23,Atlanta,3464,33.85844,-84.3402,Pj3VUKbA5hG7qyHRy13KCQ,"Intruder raises alarm, causes lock down",2016-12-12 20:05:23,Infrastructure,medium,"(33.858440000000002, -84.340199999999996)",9.0,Atlanta,1.0
2016-12-12 20:05:59,Tianshui,3474,35.0,105.0,KhKGZqbA5hGsdSHRy13KCQ,Japan protests against China's claims of dangerous conduct by fighter jets,2016-12-12 20:05:59,Other,moderate,"(35.0, 105.0)",4.0,Tianshui,1.0
2016-12-12 20:12:29,Multān,3602,30.0,70.0,mHigTqfA5hG2+R_Ry13KCQ,Pakistan army chief Bajwa removes ISI leader in major military reshuffle,2016-12-12 20:12:29,Geopolitical,medium,"(30.0, 70.0)",9.0,Multān,1.0
2016-12-12 20:12:41,Chennai,3605,13.08784,80.27847,GKvwVafA5hGFBR_Ry13KCQ,"Flights, trains cancelled between Chennai and Bengaluru as cyclone Vardah intensifies",2016-12-12 20:12:41,Other,medium,"(13.08784, 80.278469999999999)",9.0,Chennai,1.0
2016-12-12 20:14:13,Atlanta,23,33.749,-84.38798,1Bf6jKfA5hGjPaUCZNc2RA,"Kandi Burruss Accuses Phaedra Parks Of Lying About Bomb Threat, Says Mama Joyce Needs A ...",2016-12-12 20:14:13,Physical Threats,moderate,"(33.749000000000002, -84.387979999999999)",4.0,Atlanta,1.0
2016-12-12 20:16:58,Cheongju-si,3558,36.5,127.75,htL47qfA5hGU2RnRy13KCQ,South Korea temporarily bans movement of poultry to fight bird flu,2016-12-12 20:16:58,Public Health,moderate,"(36.5, 127.75)",4.0,Cheongju-si,1.0
2016-12-12 20:17:57,Bamenda,3638,6.0,12.5,jvgaEqjA5hGpyB_Ry13KCQ,Amnesty Demands Urgent Probe Into Excessive Use of Force on Anglophone Protesters,2016-12-12 20:17:57,Geopolitical,medium,"(6.0, 12.5)",9.0,Bamenda,1.0
2016-12-12 21:10:03,Aleppo,3742,36.201240000000006,37.16117,pJ9aWa_A5hGLBZMCZNc2RA,"Over 13,000 Civilians Evacuated From Aleppo Regions in 24 Hours",2016-12-12 21:10:03,Infrastructure,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 21:11:46,Asyūţ,3783,27.0,30.0,9JoSl6_A5hGxY5QCZNc2RA,Egypt mourns 25 Christians killed in massive church bombing,2016-12-12 21:11:46,Physical Threats,medium,"(27.0, 30.0)",9.0,Asyūţ,1.0
2016-12-12 22:11:36,Tokyo,3980,35.685359999999996,139.75309,KNqL8rfA5hGW5wvRy13KCQ,Japan denies Chinese claim of dangerous fighter-jet conduct,2016-12-12 22:11:36,Geopolitical,moderate,"(35.685359999999996, 139.75308999999999)",4.0,Tokyo,1.0
