time,city,row,lat,lon,id,title,start_ts,report_type,severity,lat_long,severity_quadratic,city,anomalous
2016-12-12 12:06:39,Chicago,1349,41.85003,-87.65005,4EMFcGPA5hGB_BzRy13KCQ,"Snow, Frigid Temperatures Hit Much of Northern U.S.",2016-12-12 12:06:39,Other,moderate,"(41.850029999999997, -87.650049999999993)",4.0,Chicago,1.0
2016-12-12 12:12:14,Maiduguri,1379,11.846919999999999,13.15712,XKS_N2TA5hGCYRvRy13KCQ,Girls 'aged 7 or 8' stage suicide attack in Nigeria,2016-12-12 12:12:14,Physical Threats,high,"(11.846919999999999, 13.157120000000001)",16.0,Maiduguri,1.0
2016-12-12 13:05:01,Oklahoma City,1583,34.392559999999996,-100.89764,HMhll2vA5hGLHhzRy13KCQ,Turkish citizens in Berlin protest PKK terror attack,2016-12-12 13:05:01,Physical Threats,moderate,"(34.392559999999996, -100.89764)",4.0,Oklahoma City,1.0
2016-12-12 13:06:04,Tampa,1591,28.03947,-81.9498,oGHIvGvA5hGzBBzRy13KCQ,Drane Field Road Closed In Lakeland Due Traffic Fatality,2016-12-12 13:06:04,Infrastructure,moderate,"(28.039470000000001, -81.949799999999996)",4.0,Tampa,1.0
2016-12-12 13:06:58,Long Beach,1635,33.84918,-118.38841000000001,_o_p3GvA5hGlnqICZNc2RA,Police Say Suspect Wounded In Shooting In San Pedro Attempted To Hit Officer With Car,2016-12-12 13:06:58,Physical Threats,moderate,"(33.849179999999997, -118.38841000000001)",4.0,Long Beach,1.0
2016-12-12 13:07:13,Surrey,1607,49.0963,-122.62299999999999,hAfe5WvA5hGkBBvRy13KCQ,VIDEO: Fire forces evacuation of Langley City apartment building,2016-12-12 13:07:13,Natural Disaster,moderate,"(49.096299999999999, -122.62299999999999)",4.0,Surrey,1.0
2016-12-12 13:09:10,Kayseri,1605,39.0,35.0,nmn9K2zA5hGYmxrRy13KCQ,Erdogan’s clampdown fuelling Turkey’s year of terror,2016-12-12 13:09:10,Physical Threats,moderate,"(39.0, 35.0)",4.0,Kayseri,1.0
2016-12-12 13:10:44,Ḩamāh,1744,35.0,38.0,hG2kY2zA5hGIMaECZNc2RA,The Latest: Russia shows special forces in action in Syria,2016-12-12 13:10:44,Geopolitical,medium,"(35.0, 38.0)",9.0,Ḩamāh,1.0
2016-12-12 13:16:38,Manukau City,1710,-38.65333,178.00417,IFL1Nm3A5hGwBhvRy13KCQ,"Light plane crashes near Gisborne, one on board",2016-12-12 13:16:38,Other,moderate,"(-38.653329999999997, 178.00416999999999)",4.0,Manukau City,1.0
2016-12-12 13:16:46,Manukau City,1770,-38.65333,178.00417,LOmOO23A5hGvcKQCZNc2RA,Plane crashes in Gisborne District,2016-12-12 13:16:46,Other,moderate,"(-38.653329999999997, 178.00416999999999)",4.0,Manukau City,1.0
2016-12-12 13:17:11,Port Harcourt,1779,5.34388,6.656839999999999,okKcSm3A5hGtxxnRy13KCQ,Nigerian police officer beheaded in Rivers Rerun election,2016-12-12 13:17:11,Crime,moderate,"(5.3438800000000004, 6.656839999999999)",4.0,Port Harcourt,1.0
2016-12-12 14:06:31,Preston,1988,54.75844,-2.6953099999999997,3urvLnTA5hGUHRvRy13KCQ,British shoppers to be protected by concrete barriers over suicide bomber fears,2016-12-12 14:06:31,Physical Threats,moderate,"(54.75844, -2.6953099999999997)",4.0,Preston,1.0
2016-12-12 14:08:19,Chicago,1867,41.46588,-85.58748,xF0zb3TA5hGRZaICZNc2RA,Northern Indiana authorities uncover high school drug ring,2016-12-12 14:08:19,Crime,medium,"(41.465879999999999, -85.587479999999999)",9.0,Chicago,1.0
